

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:16:49 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Kepler (spacecraft) (-227)      {source: KEPLER_FINAL_56_traj}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2009-Mar-07 04:56:42.5760 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454897.706048334, A.D. 2009-Mar-07 04:56:42.5760, -1.444239613711219E+08,  3.433056534107521E+07, -2.623998399134725E+03,
2454900.706048334, A.D. 2009-Mar-10 04:56:42.5760, -1.465840220186017E+08,  2.695754191567106E+07,  1.478693481605016E+05,
2454903.706048334, A.D. 2009-Mar-13 04:56:42.5760, -1.481936287998549E+08,  1.940782078362003E+07,  2.411950420643138E+05,
2454906.706048334, A.D. 2009-Mar-16 04:56:42.5760, -1.493706491034705E+08,  1.178965122894242E+07,  3.214164132601134E+05,
2454909.706048334, A.D. 2009-Mar-19 04:56:42.5760, -1.501320874683400E+08,  4.132010880236724E+06,  3.943810339372624E+05,
2454912.706048334, A.D. 2009-Mar-22 04:56:42.5760, -1.504857019619450E+08, -3.541591231590693E+06,  4.622412388143366E+05,
2454915.706048334, A.D. 2009-Mar-25 04:56:42.5760, -1.504369429090764E+08, -1.120942953180226E+07,  5.260617179063242E+05,
2454918.706048334, A.D. 2009-Mar-28 04:56:42.5760, -1.499907292594934E+08, -1.885071177941304E+07,  5.864287317379788E+05,
2454921.706048334, A.D. 2009-Mar-31 04:56:42.5760, -1.491521701965767E+08, -2.644527734820019E+07,  6.436946896229368E+05,
2454924.706048334, A.D. 2009-Apr-03 04:56:42.5760, -1.479268399678560E+08, -3.397350379613854E+07,  6.980732982902639E+05,
2454927.706048334, A.D. 2009-Apr-06 04:56:42.5760, -1.463208539033901E+08, -4.141629653836573E+07,  7.496760485871900E+05,
2454930.706048334, A.D. 2009-Apr-09 04:56:42.5760, -1.443410254039514E+08, -4.875505028106652E+07,  7.985696837660186E+05,
2454933.706048334, A.D. 2009-Apr-12 04:56:42.5760, -1.419949045464935E+08, -5.597165616793673E+07,  8.447976713113189E+05,
2454936.706048334, A.D. 2009-Apr-15 04:56:42.5760, -1.392906797676678E+08, -6.304854888154126E+07,  8.883633827425763E+05,
2454939.706048334, A.D. 2009-Apr-18 04:56:42.5760, -1.362372479406092E+08, -6.996869762941253E+07,  9.292594733981974E+05,
2454942.706048334, A.D. 2009-Apr-21 04:56:42.5760, -1.328441801085501E+08, -7.671563300346692E+07,  9.674677605992593E+05,
